band_number,year,sex,colour,wing_chord,wing_flat,tail,p_9,weight,date,nest_box,clutch_size,clutch_number,no_of_young_fledged,number_hatch,location
1881.06295,2011,M,BLU,123,125,57,98,21.34,2011-06-14,PT11G,6,1,2,2,PT
1881.06295,2012,M,BLU,121,125,56,99,21.63,2012-06-04,PT11G,6,1,6,6,PT
1881.06307,2010,F,BLU,112,115,56,89,20.75,2017-06-01,PT07F,6,1,4,4,PT
1881.06307,2011,F,BLU,109,115,55,85,19.8,2011-06-19,PT01I,7,1,5,5,PT
1881.06307,2012,F,BLU,113,116,56,91,22.64,2012-06-04,PT01I,6,1,6,6,PT
1881.06321,2010,F,BLU,116,117,44,95,19.75,2015-06-01,PT16J,6,1,5,6,PT
1881.06321,2012,F,BLU,113,116,55,91,20.24,2012-06-04,PT10G,7,1,6,6,PT
1881.06333,2010,M,BLU,115,116,56,92,20.72,2010-06-10,MC54,6,1,4,5,MC
1881.06362,2011,F,BLU,110,112,53,88,21.3,2011-06-09,SL71,6,1,4,4,SL
1881.06368,2010,F,BLU,112,116,55,88,18.66,2010-06-10,MC54,6,1,4,5,MC
1881.06378,2011,F,BLU,115,118,54,91,20,2011-06-11,MC38,6,1,5,5,MC
1881.06378,2012,F,BLU,116,117,54,92,20.7,2012-05-31,MC74,6,1,3,6,MC
1881.06382,2011,F,BLU,115,117,57,95,19.7,2011-06-12,MC02,6,1,5,5,MC
1881.06387,2010,M,BLU,121,123,57,97,20.2,2010-06-10,MC43,6,1,3,6,MC
1881.06389,2010,F,BLU,112.5,115,53,89,21.32,2010-06-10,MC46,5,1,4,4,MC
1881.06389,2011,F,BLU,113,116,53,88,19.3,2011-06-13,MC46,5,1,4,4,MC
1881.06389,2011,F,BLU,113,115,52,90,21.1,2011-06-12,MC46,5,1,4,4,MC
1881.06389,2012,F,BLU,112,114,53,89,20.7,2012-06-02,MC25,5,1,5,5,MC
1881.06392,2010,M,BLU,121,122,58,98,22.1,2010-06-10,MC46,5,1,4,4,MC
1881.06392,2011,M,BLU,124,126,56,99,22.2,2011-06-12,MC46,5,1,4,4,MC
1881.06427,2011,F,BLU,110,112,54,83,21.88,2011-06-12,PT07K,5,1,5,5,PT
1881.06427,2012,F,BLU,112,114,53,86,20.53,2012-06-02,PT08J,6,1,5,5,PT
1881.06429,2010,M,BLU,125,126,48,95,22.75,2013-06-01,PT11K,2,1,0,2,PT
1881.06429,2011,M,BLU,118,120,56,92,22.48,2011-06-13,PT11K,5,1,5,5,PT
1881.06429,2012,M,BLU,120,123,56,97,22.37,2012-06-06,PT11K,7,1,5,5,PT
1881.06436,2010,F,BLU,115,116,56,90,21,2017-06-01,PT11G,5,1,5,5,PT
1881.06436,2011,F,BLU,111,115,55,89,23.6,2011-06-19,PT11H,6,1,5,6,PT
1881.06436,2012,F,BLU,116,119,56,94,22.87,2012-06-02,PT11H,6,1,6,6,PT
1881.06441,2010,M,BLU,123,124,60,96,21.1,2010-06-01,PT04G,5,1,5,5,PT
1881.06441,2011,M,BLU,122,124,60,98,22.14,2011-06-15,PT04F,6,1,0,6,PT
1881.06449,2010,F,BLU,118,119,46,90,23,2013-06-01,PT06J,6,1,5,6,PT
1881.06489,2010,M,BLU,124,126,61,96,21,2012-06-01,PT04F,5,1,5,5,PT
1881.0652,2010,F,BLU,115,119,54,90,19.6,2010-06-01,PT02F,5,1,5,5,PT
1881.0652,2011,F,BLU,116,118,55,93,19.92,2011-06-15,PT04F,6,1,0,6,PT
1881.0654,2010,M,BLU,123,125,54,99,21.5,2018-06-01,PT04I,5,1,5,5,PT
1881.0654,2011,M,BLU,119,124,50,95,20.8,2011-06-19,PT04I,6,1,5,5,PT
1881.0654,2012,M,BLU,122,126,56,98,21.29,2012-06-05,PT04I,6,1,5,6,PT
1881.06771,2011,M,BLU,117,120,56,92,20,2011-06-13,SL72,6,1,6,6,SL
1881.06771,2012,M,BLU,121,123,56,93,21,2012-05-30,SL72,6,1,6,6,SL
1881.06779,2011,F,BLU,110,114,54,87,18.8,2011-06-15,SL29,5,1,3,3,SL
1881.06779,2012,F,BLU,112,115,55,91,20.75,2012-05-28,SL39,5,1,2,5,SL
1881.06793,2010,M,BLU,111.5,112.5,55,88,19.57,2010-06-08,SL77,6,1,6,6,SL
1881.06802,2011,M,BLU,118,120,56,91,20.5,2011-06-13,MC70,6,1,5,5,MC
1881.0684,2010,M,BLU,112,114.5,54,92,21,2010-06-12,MC11,5,1,3,5,MC
1881.0684,2011,M,BLU,115,118,54,90,20.4,2011-06-11,MC11,6,1,6,6,MC
1881.0684,2012,M,BLU,119,122,58,94,20.6,2012-06-02,MC11,5,1,5,5,MC
1881.0692,2010,M,BLU,119,121,53,95,21.5,2010-06-11,SL33,6,1,6,6,SL
1881.0692,2011,M,BLU,122,124,56,93,22.3,2011-06-11,SL20,5,1,3,3,SL
1881.06924,2010,M,BLU,120.5,123,54,99,21.5,2010-06-08,SL13,6,1,6,6,SL
1881.06924,2011,M,BLU,119,124,54,98,21.9,2011-06-05,SL13,6,1,5,6,SL
1881.06924,2012,M,BLU,123,125,60,96,22.1,2012-05-30,SL13,7,1,7,7,SL
1881.06925,2011,M,BLU,118,120,56,94,21.4,2011-06-19,SL42,7,1,0,4,SL
1881.06925,2012,M,BLU,114,117,55,95,21.7,2012-06-08,SL38,6,1,5,5,SL
1881.06926,2011,F,BLU,109,111,53,87,18.7,2011-06-15,SL50,6,1,2,4,SL
1881.06926,2012,F,BLU,110,111,56,85,19,2012-06-04,SL56,5,1,4,4,SL
1881.06932,2011,M,BLU,120,122,56,95,20.5,2011-06-15,SL34,6,1,5,6,SL
1881.06933,2011,M,BLU,118,120,57,96,18.9,2011-06-17,SL38,6,1,3,4,SL
1881.06936,2010,M,BLU,120,123.5,56.5,96,21.7,2010-06-11,SL17,6,1,6,6,SL
1881.06936,2011,M,BLU,120,123,57,96,21.1,2011-06-08,SL17,6,1,6,6,SL
1881.06936,2012,M,BLU,120,122,54,96,20.7,2012-06-07,SL17,5,1,0,4,SL
1881.06953,2010,F,BLU,118,120,60,92,20.5,2010-06-12,SL04,6,1,4,4,SL
1881.06959,2010,F,BLU,116,118,54,92,20.2,2010-06-06,SL39,6,1,6,6,SL
1881.06966,2010,M,BLU,118,120,54,94,21.5,2010-06-11,SL19,6,1,6,6,SL
1881.06966,2011,M,BLU,118,121,57,93,22,2011-06-05,SL19,4,1,3,3,SL
1881.06966,2012,M,BLU,118,119,58,92,21.3,2012-06-05,SL19,6,1,5,6,SL
1881.06968,2011,M,BLU,121,123,57,97,21.8,2011-06-09,SL06,6,1,6,6,SL
1881.06969,2011,M,BLU,116,118,53,94,20.5,2011-06-10,SL22,6,1,6,6,SL
1881.06969,2012,M,BLU,116,117,55,93,20.3,2012-06-09,SL22,6,1,5,6,SL
