band_or_recapture,band_number,sex,colour,wing_chord,wing_flat,tail,p_9,weight,date,nest_box,age_code,year
R,1881.06034,F,BLU,114,116,55,92,19.7,2010-06-11,SL19,ASY,2010
B,2351.37441,F,BLU,114,116,59,92,21,2010-06-11,SL17,ASY,2010
B,2351.37442,M,BLU,116,119,57,96,20.2,2010-06-11,SL20,AHY,2010
R,2171.20098,F,BLU,118,120,56,94,22,2010-06-11,SL23,ASY,2010
B,2351.37443,M,BLU,122,125,69,99,21,2010-06-11,SL71,AHY,2010
R,1881.06936,M,BLU,120,123.5,56.5,96,21.7,2010-06-11,SL17,AHY,2010
R,1881.06966,M,BLU,118,120,54,94,21.5,2010-06-11,SL19,AHY,2010
B,2351.37444,M,BLU,113,115,55,93,18.9,2010-06-11,SL23,AHY,2010
B,2351.37445,F,INT,114,115.5,54,90,20,2010-06-11,SL33,AHY,2010
R,1771.42382,F,BLU,114,115,56,90,21.6,2010-06-11,SL6,ASY,2010
R,1881.0692,M,BLU,119,121,53,95,21.5,2010-06-11,SL33,AHY,2010
B,2351.37446,F,BLU,113,115,53,90,20.3,2010-06-11,SL27,ASY,2010
R,1771.42388,F,BLU,110,112,51,89,18,2010-06-11,SL60,ASY,2010
R,1771.43976,F,BLU,115,118,59,97,20,2010-06-11,SL52,ASY,2010
R,2311.93972,F,BLU,115,118,54,92,19.7,2010-06-11,SL51,ASY,2010
R,2351.37427,F,BLU,113,116,52,90,19.4,2010-06-11,SL53,ASY,2010
R,1881.06071,F,BLU,112,114,53,89,20,2010-06-11,SL43,ASY,2010
B,2351.37447,M,BLU,114,116,52,89,19,2010-06-11,SL53,AHY,2010
R,1831.38631,M,BLU,119,123,59,96,20.5,2010-06-11,SL27,AHY,2010
B,2351.37448,M,BLU,114,118,54,89,20.5,2010-06-11,SL60,AHY,2010
R,2171.20083,F,BLU,111,114,51,92,20.5,2010-06-11,SL59,ASY,2010
R,2311.93485,M,BLU,122,125,59,97,21.4,2010-06-11,SL52,AHY,2010
B,2351.37449,F,BLU,110,114,54,91,22.5,2010-06-11,SL30,ASY,2010
R,1881.06971,M,BLU,115,116,53,91,19.5,2010-06-11,SL51,AHY,2010
R,1771.43886,F,BLU,118,121,57,96,21.4,2010-06-11,SL11,ASY,2010
R,2221.31619,M,BLU,122,124,61,98,20,2010-06-11,SL30,AHY,2010
B,2351.3545,M,BLU,114,115,51,89,20,2010-06-11,SL11,AHY,2010
R,2171.20092,F,BLU,112,115,61,89,21.8,2010-06-12,SL57,ASY,2010
B,2351.37451,M,BLU,122,125,62,99,21.5,2010-06-12,SL57,AHY,2010
B,2351.37452,F,BLU,111,113,55,89,21,2010-06-12,SL58,ASY,2010
B,2351.37453,F,BLU,112,114,58,89,19.2,2010-06-12,SL7,ASY,2010
R,2311.93958,F,BLU,113,115,54,89,19.7,2010-06-12,SL5,ASY,2010
R,2221.31804,F,BLU,114,115,52,90,18.8,2010-06-12,SL3,ASY,2010
R,2351.37503,F,BLU,114,115,53,86,19.8,2010-06-12,SL46,AHY,2010
R,2171.20091,M,BLU,123,124,55,98,20.1,2010-06-12,SL58,AHY,2010
R,2351.37502,F,BLU,114,115,54,91,18.4,2010-06-12,SL68,ASY,2010
B,2351.37454,M,BLU,119,120,57,95,21.4,2010-06-12,SL68,AHY,2010
B,2351.37455,M,BLU,115,116,55,96,21.3,2010-06-12,SL3,AHY,2010
B,2351.37456,M,BLU,115,117,55,94,21.3,2010-06-12,SL5,AHY,2010
R,2311.9387,F,BLU,115,118,61,93,21.7,2010-06-12,SL55,ASY,2010
B,2351.37457,M,BLU,117,120,56,92,20.6,2010-06-12,SL55,AHY,2010
R,1881.06089,F,BLU,113,114,54,89,20.4,2010-06-12,SL2,ASY,2010
B,2351.37458,M,BLU,125,127,64,100,20.4,2010-06-12,SL4,AHY,2010
B,2351.37459,M,BLU,119,121,57,95,20.9,2010-06-12,SL44,AHY,2010
R,2351.37565,M,BLU,116,119,56,90,21,2010-06-12,SL65,AHY,2010
R,1881.06953,F,BLU,118,120,60,92,20.5,2010-06-12,SL4,ASY,2010
R,1771.42264,F,BLU,115,116,54,89,20,2010-06-12,SL67,ASY,2010
R,2351.37406,M,BLU,115,118,62,94,19.3,2010-06-12,SL2,AHY,2010
R,2171.20084,M,BLU,116,119,56,92,20.4,2010-06-12,SL7,AHY,2010
B,2351.3746,M,BLU,116,118,59,95,19.5,2010-06-12,SL46,AHY,2010
R,2221.31604,M,BLU,123,124,57,98,21.5,2010-06-12,SL67,AHY,2010
R,2351.3787,F,INT,109.5,112,51,88,20.8,2010-06-12,MC53,AHY,2010
R,2311.93108,M,BLU,117,120,58,96,20,2010-06-12,MC53,AHY,2010
B,2351.37092,F,BLU,113,115.5,56,90,20.5,2010-06-12,MC45,ASY,2010
B,2351.37093,M,BLU,114,115,54,91,20.5,2010-06-12,MC45,AHY,2010
B,2351.37094,F,BLU,115,117,55,92,20.8,2010-06-12,MC13,ASY,2010
B,2351.37095,F,BLU,115,117,55,96,21,2010-06-12,MC12,ASY,2010
R,2351.37306,F,BLU,115,116,56,91,21.5,2010-06-12,MC70,ASY,2010
R,2221.3194,F,BLU,110,113,54,90,20,2010-06-12,MC37,ASY,2010
R,2351.37691,M,BLU,116,118.5,54,95,19.8,2010-06-12,MC36,AHY,2010
B,2351.37097,F,BLU,110,111,51,88,19,2010-06-12,MC68,ASY,2010
